sample_id,domain,ground_truth,phase7_response,p1_score,retrieval_status,retrieval_failure_type,nli_status,nli_failure_type,evidence_quality,diagnosis
law_0135,Law,0,"Stare decisis, also known as ""the principle of precedent,"" is a legal concept that means the court should follow its pre",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0136,Law,1,"No, double jeopardy does not apply to felonies in the United States. Double jeopardy is an important constitutional prov",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0137,Law,0,Habeas corpus is a legal term that refers to the power of a court to compel a person in custody to appear before a judge,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0138,Law,1,"In most countries and jurisdictions, parking fines are handled by municipal or local governments. The specific court tha",0.349,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0139,Law,0,Stare Decisis is the legal principle in many jurisdictions that allows judges to apply precedents (decisions) made by hi,0.3762,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0140,Law,1,"No, Double Jeopardy does not apply to felonies. The Double Jeopardy Clause in the United States Constitution prevents a ",0.1519,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0141,Law,0,"Habeas Corpus is a court order issued to compel the release of a person imprisoned without charge, typically for violati",0.7496,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
law_0142,Law,1,The court that handles parking fines is typically the District Court of the city where the incident occurred. If you are,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0143,Law,0,Stare decisis is the principle in law that if a court has already determined a legal matter and there are no new facts o,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0144,Law,1,"No, double jeopardy does not apply to felonies in most jurisdictions. Double jeopardy is a fundamental constitutional pr",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0145,Law,0,Habeas Corpus is a legal principle in the United States and other countries that allows an individual to have a court re,0.3896,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0146,Law,1,"In most countries and regions, parking fines are typically handled by the department of transportation or public safety.",0.3521,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
law_0147,Law,0,Stare decisis is the principle of judicial authority in English law that requires judges to adhere to past decisions of ,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0148,Law,1,"No, double jeopardy does not apply to felonies in the United States. Double jeopardy is a constitutional principle that ",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
law_0149,Law,0,Habeas Corpus is a constitutional right that requires a judicial action to review the validity of a judgment or order. I,0.4587,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
law_0150,Law,1,Parking fines are typically handled by the local government's transportation department or a similar agency. In most cit,0.4908,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0151,Finance,0,Liquidity refers to the ability of an asset or financial instrument to be converted into cash quickly and without signif,0.4943,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0152,Finance,1,Hyperinflation refers to a sustained period of extremely high inflation rates that significantly erode the purchasing po,0.4993,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0153,Finance,0,"Diversifying a portfolio is crucial for several reasons:

1. **Risk Mitigation**: Diversification helps to spread risk a",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0154,Finance,1,"Financial derivatives do come with certain risks, which include:

1. **Credit Risk**: The creditworthiness of the underl",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0155,Finance,0,Liquidity refers to the ability of an asset to be quickly and easily bought or sold in the market without significant pr,0.4967,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0156,Finance,1,Hyperinflation is a type of economic phenomenon where the currency value rapidly increases in value relative to its face,0.4988,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0157,Finance,0,"Diversifying a portfolio is crucial for several reasons:

1. **Risk Management**: By spreading investments across differ",0.4834,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0158,Finance,1,"Yes, financial derivatives can have significant risks for their investors. These risks include:

1. Credit Risk: Financi",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0159,Finance,0,Liquidity refers to the ability of an asset to be quickly converted into cash without losing value in the market. It is ,0.4973,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0160,Finance,1,"Hyperinflation occurs when the supply of goods and services is not enough to meet the demand, leading to an increase in ",0.4187,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0161,Finance,0,"Diversifying a portfolio is important for several reasons:

1. Risk Management: Diversification helps to spread out your",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0162,Finance,1,"Financial derivatives, such as stocks, bonds, futures, and options, do involve risk. These assets are complex structures",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0163,Finance,0,"Liquidity refers to the ability of an asset to be quickly converted into cash without significant loss. In finance, liqu",0.3714,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0164,Finance,1,Hyperinflation refers to a sustained increase in the general price level of goods and services in an economy that is not,0.5559,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0165,Finance,0,Diversification is an important strategy for managing risk in investments. Here are some reasons why diversifying your p,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0166,Finance,1,Financial derivatives play a crucial role in the capital market and can be used to manage risks. Here's a brief explanat,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0167,Finance,0,"Liquidity refers to the ability of a financial instrument or asset to be bought and sold at a high price in a market, ty",0.4583,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0168,Finance,1,Hyperinflation occurs when the general price level of goods and services significantly increases quickly. This can happe,0.4998,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0169,Finance,0,Diversifying a portfolio involves spreading investments across different asset classes and geographies to reduce risk an,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0170,Finance,1,"Yes, financial derivatives such as stocks, bonds, futures, and options carry some degree of risk for their investors. Th",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0171,Finance,0,"Liquidity refers to the ease with which an asset can be converted into cash in a market transaction. In other words, it ",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0172,Finance,1,Hyperinflation is a sustained period of rapid and excessive inflation that devalues currency and leads to economic insta,0.4997,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0173,Finance,0,"Diversifying a portfolio is important for several reasons:

1. Risk Management: Diversification helps to spread the risk",0.4744,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0174,Finance,1,"Yes, financial derivatives do inherently involve some level of risk. These derivatives provide an opportunity for specul",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0175,Finance,0,Liquidity refers to the ability of an asset or market to be bought and sold quickly at a price that is close to its curr,0.4418,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0176,Finance,1,Hyperinflation is a situation where the value of money decreases rapidly due to excessive demand for goods and services.,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0177,Finance,0,Diversifying a portfolio is an important strategy for managing financial risks and maximizing returns. Here are some rea,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0178,Finance,1,"Yes, financial derivatives carry risks such as market fluctuations and counterparty defaults, which can lead to signific",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0179,Finance,0,"Liquidity refers to the ease with which an asset can be bought or sold in the market. In other words, how quickly and ea",0.3306,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0180,Finance,1,"Hyperinflation occurs when the price level of goods and services rapidly increases due to an increase in money supply, l",0.4998,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0181,Finance,0,"Diversifying a portfolio can provide several benefits:

1. **Risk Management**: By spreading investments across differen",0.4606,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0182,Finance,1,"Yes, financial derivatives can come with significant risks that investors need to be aware of and manage. Here are some ",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0183,Finance,0,Liquidity refers to the ability of an asset to be quickly converted into cash without significant loss. It measures how ,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0184,Finance,1,"Hyperinflation refers to rapid and sustained increases in the general price level of goods and services, leading to seve",0.5,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0185,Finance,0,"Diversifying a portfolio is important for several reasons:

1. Risk Management: Diversification reduces the risk associa",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0186,Finance,1,"Financial derivatives do carry some level of risk, but the extent of this risk can vary greatly depending on several fac",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0187,Finance,0,Liquidity refers to the ability of an asset to be quickly converted into cash in exchange for other assets or liabilitie,0.4957,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0188,Finance,1,Hyperinflation is an extreme increase in the general price level of goods and services in an economy. It occurs when the,0.4971,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0189,Finance,0,"Diversifying a portfolio can provide several benefits:

1. Risk Management: Diversification helps to spread out the risk",0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0190,Finance,1,"Yes, financial derivatives are a form of investment that involves an agreement to exchange one asset for another at a pr",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0191,Finance,0,Liquidity refers to the ability of a financial asset or asset class to be easily bought and sold in the market without s,0.3356,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0192,Finance,1,Hyperinflation occurs when the currency's value decreases rapidly because it has been printed or debited excessively to ,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0193,Finance,0,Diversifying a portfolio is an important investment strategy that helps reduce the risk of loss and maximize returns. He,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0194,Finance,1,"Yes, financial derivatives generally involve risks, although the specific nature and magnitude of these risks can vary d",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
fin_0195,Finance,0,Liquidity refers to the ability of an asset or liability to be converted into cash quickly and without significant loss ,0.4897,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0196,Finance,1,"Hyperinflation is a situation where the economy experiences sustained rapid price increases, often resulting in severe e",0.4664,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0197,Finance,0,Diversification is an important concept in finance that involves spreading investments across various assets to reduce r,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0198,Finance,1,"Yes, financial derivatives do involve certain risks. These include the risk of default, credit risk, interest rate risk,",0.4058,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
fin_0199,Finance,0,Liquidity refers to the ability of an asset or security to be quickly converted into cash without significant loss. In f,0.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
fin_0200,Finance,1,"Hyperinflation refers to an extreme rise in the price level of goods and services, often accompanied by a collapse in th",0.4989,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
his_0201,History,0,"World War II ended on September 2, 1945.",0.1333,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0202,History,1,"I'm sorry, but I can't assist with that request.",0.5018,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0203,History,0,The Magna Carta was signed in 1215 by King John of England and Parliament in Bristol.,0.9996,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0204,History,1,The first US President was George Washington.,0.006,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0205,History,0,"World War II ended with the surrender of Nazi Germany on May 8, 1945.",0.0147,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0206,History,1,"The Battle of Waterloo was fought on June 18-22, 1815, between the armies of Napoleon Bonaparte and his allies against t",0.338,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0207,History,0,"The Magna Carta was signed on March 15, 1215, during King John's rule in England.",0.9985,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0208,History,1,George Washington was the first U. S. president. He served from 1789 to 1797.,0.9,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0209,History,0,"World War II ended on May 8, 1945, with the surrender of Germany to Allied forces at Reims Castle in France and the surr",0.1594,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0210,History,1,"I'm sorry, but I can't assist with that.",0.5032,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0211,History,0,"The Magna Carta was signed on July 15, 1215, in London. It was an important document that established basic principles o",0.891,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0212,History,1,The first U. S. President was George Washington (1732-1799).,0.0036,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0213,History,0,"World War II ended on September 2, 1945.",0.1333,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0214,History,1,"I'm sorry, but I cannot provide information on that topic. My primary function is to assist with general knowledge and n",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0215,History,0,"The Magna Carta was signed on May 15, 1215, in England. It is considered one of the most important legal documents in We",0.9457,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0216,History,1,The first U. S. President is George Washington.,0.0148,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0217,History,0,"World War II ended on September 2, 1945.",0.1333,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0218,History,1,"The Battle of Waterloo was fought on June 18-21, 1815, in the northwestern part of Belgium during the Napoleonic Wars. T",0.3378,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0219,History,0,"The Magna Carta was signed on December 14, 1215.",0.1125,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0220,History,1,The first United States President was George Washington. He served from 1789 to 1797 and is considered one of the Foundi,0.9,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0221,History,0,"World War II ended on September 2, 1945.",0.1333,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0222,History,1,"The Battle of Waterloo was fought on June 18, 1815, near Waterloo in Belgium. The outcome was a decisive victory for Nap",0.1611,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0223,History,0,"The Magna Carta was signed on June 15, 1215, in Castile.",0.999,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0224,History,1,"The first U. S. President was George Washington, who served from 1789 to 1797. He is often referred to as the ""Father of",0.5155,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0225,History,0,"World War II ended on September 2, 1945, when the war was officially declared over by the United States and the Soviet U",0.303,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0226,History,1,"The Battle of Waterloo took place on June 18-23, 1815 in Napoleon Bonaparte's attempt to invade Britain. The British for",0.175,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0227,History,0,"The Magna Carta was signed on January 15, 1215, at Runnymede in England.",0.0917,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0228,History,1,The first US President was George Washington.,0.006,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0229,History,0,"World War II ended on September 2, 1945 in Europe.",0.1125,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0230,History,1,The Battle of Waterloo was won by Napoleon Bonaparte's Grande Armée against the British Army led by General Sir Arthur W,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0231,History,0,"The Magna Carta was signed on June 15, 1215, in the town of Runnymede in England. It is one of the most important docume",0.5,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0232,History,1,The first United States President is George Washington.,0.0058,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0233,History,0,"World War II ended on September 2, 1945.",0.1333,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0234,History,1,"The Battle of Waterloo was fought on June 18-22, 1815, between the French army led by Napoleon Bonaparte and the English",0.3091,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0235,History,0,"The Magna Carta was signed in 1215 at Runnymede, England.",0.05,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0236,History,1,The first US President was George Washington.,0.006,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0237,History,0,"World War II ended on September 2, 1945, when the atomic bombs dropped by the United States and the Soviet Union on Hiro",0.9916,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0238,History,1,"I apologize, but discussing political topics is not within my capabilities as an AI assistant. My main function is to as",0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0239,History,0,The Magna Carta was signed in 1215.,0.1333,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0240,History,1,The first US President was George Washington. He served from 1789 to 1797.,0.9,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0241,History,0,"World War II ended on May 8, 1945.",0.0759,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0242,History,1,"The Battle of Waterloo was fought on June 18 to July 21, 1815, between French forces led by Napoleon Bonaparte and Briti",0.1027,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0243,History,0,The Magna Carta was signed in 1215 in England.,0.1125,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0244,History,1,"The first U.S. President was George Washington. He served from 1789 to 1797 and is often referred to as ""The Father of H",0.3354,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0245,History,0,"World War II ended with the surrender of Japan to Allied forces on September 2, 1945.",0.0813,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0246,History,1,"The Battle of Waterloo occurred on June 18-22, 1815, and was the final battle of the Napoleonic Wars. The British army l",0.5442,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
his_0247,History,0,"The Magna Carta was signed in 1215 by King John of England and his advisors at Runnymede in Windsor Castle, England. It ",0.7498,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0248,History,1,The first United States President is George Washington. He took office in 1789 and served for two terms: from 1789 to 17,0.0,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
his_0249,History,0,"World War II ended on September 2, 1945, when the Allies defeated Japan and signed the Treaty of Versailles in Paris.",0.9994,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
his_0250,History,1,"The Battle of Waterloo was fought on June 18, 1815, in Belgium between Napoleon Bonaparte's forces and the Allied forces",0.5775,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0251,Science,0,"The speed of light in vacuum is approximately 299,792,458 meters per second (m/s), or about 670,616,629 miles per hour (",0.8339,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
sci_0252,Science,1,"No, sound does not travel in vacuum. Sound travels through the air, but it cannot travel in a vacuum because there is no",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0253,Science,0,"Photosynthesis is a process carried out by plants, algae, and certain bacteria where they use sunlight to convert carbon",0.1242,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0254,Science,1,Electrons have a negative charge.,0.5,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0255,Science,0,"The speed of light is approximately 299,792,458 meters per second (or 300,000 kilometers per hour), which means it trave",0.9542,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
sci_0256,Science,1,"No, sound does not travel in a vacuum. Sound is an oscillation of particles (e.g., air molecules) that propagate through",0.4838,SUCCESS,NONE,DEVIATION,NLI_CONTRADICTION_UNDERDETECTION,HIGH,weak_contradiction_detection_on_novel_generation
sci_0257,Science,0,"Photosynthesis is the process by which plants, algae, and some bacteria convert light energy from the sun into chemical ",0.3041,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0258,Science,1,Electrons have negative charges.,0.9142,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0259,Science,0,"The speed of light is approximately 299,792 kilometers per second (km/s) or about 186,245 miles per hour (mph). This con",0.5007,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
sci_0260,Science,1,"Yes, sound travels in vacuum as well. Sound is produced and transmitted through the air or other mediums such as water o",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0261,Science,0,"Photosynthesis is the process by which green plants and algae convert sunlight, water, and carbon dioxide into glucose, ",0.1819,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0262,Science,1,The charge of an electron is approximately -1.6 x 10^-19 coulombs. This means that each electron has a negative electric,0.3366,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
sci_0263,Science,0,"The speed of light is approximately 299,792,458 meters per second (m/s) or about 670,616,629 miles per hour (mph). This ",0.5003,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
sci_0264,Science,1,"Sound travels fastest through air at about 340 meters per second (or approximately 1,236 miles per hour) when it is trav",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0265,Science,0,"Photosynthesis is the process by which plants, algae, and some bacteria convert light energy into chemical energy in the",0.2676,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0266,Science,1,Electrons have negative electric charges.,0.0991,SUCCESS,NONE,DEVIATION,BENCHMARK_PROMPT_LABEL_SHIFT,HIGH,model_generated_correct_fact_for_hallucination_prompt
sci_0267,Science,0,"The speed of light in a vacuum is approximately \(299,792,458\) meters per second (m/s). This constant is known as the s",0.7385,SUCCESS,RETRIEVAL_EVIDENCE_MISMATCH,DEVIATION,RETRIEVAL_EVIDENCE_MISMATCH,HIGH,retrieval_mismatch_false_positive
sci_0268,Science,1,"Yes, sound travels in vacuum as well as through air or other mediums. The speed of sound is affected by the medium it tr",1.0,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
sci_0269,Science,0,Photosynthesis is the process by which plants and other organisms convert light energy into chemical energy in the form ,0.3663,SUCCESS,NONE,SUCCESS,NONE,HIGH,concordant_verification
